Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Nordeste,Piauí,401-500,8653.0,<17,917.0,Redação
Nordeste,Piauí,501-600,13874.0,<17,1536.0,Redação
Nordeste,Piauí,601-700,12351.0,<17,1700.0,Redação
Nordeste,Piauí,701-800,8456.0,<17,1260.0,Redação
Nordeste,Piauí,801-900,9610.0,<17,1389.0,Redação
Nordeste,Piauí,901-1.000,9371.0,<17,1114.0,Redação
Nordeste,Piauí,>1.001,6.0,<17,0.0,Redação
Nordeste,Ceará,0 -100,86.0,<17,0.0,Redação
Nordeste,Ceará,101-200,254.0,<17,6.0,Redação
Nordeste,Ceará,201-300,3207.0,<17,193.0,Redação
Nordeste,Ceará,301-400,11198.0,<17,1100.0,Redação
Nordeste,Ceará,401-500,18132.0,<17,1743.0,Redação
Nordeste,Ceará,501-600,31787.0,<17,3532.0,Redação
Nordeste,Ceará,601-700,33441.0,<17,4501.0,Redação
Nordeste,Ceará,701-800,23384.0,<17,3550.0,Redação
Nordeste,Ceará,801-900,25930.0,<17,3703.0,Redação
Nordeste,Ceará,901-1.000,21619.0,<17,2295.0,Redação
Nordeste,Ceará,>1.001,4.0,<17,0.0,Redação
Nordeste,Rio Grande do Norte,0 -100,9.0,<17,0.0,Redação
Nordeste,Rio Grande do Norte,101-200,68.0,<17,1.0,Redação
Nordeste,Rio Grande do Norte,201-300,1124.0,<17,45.0,Redação
Nordeste,Rio Grande do Norte,301-400,4812.0,<17,210.0,Redação
Nordeste,Rio Grande do Norte,401-500,7952.0,<17,366.0,Redação
Nordeste,Rio Grande do Norte,501-600,15719.0,<17,714.0,Redação
Nordeste,Rio Grande do Norte,601-700,15260.0,<17,921.0,Redação
Nordeste,Rio Grande do Norte,701-800,9593.0,<17,852.0,Redação
Nordeste,Rio Grande do Norte,801-900,9787.0,<17,882.0,Redação
Nordeste,Rio Grande do Norte,901-1.000,8087.0,<17,602.0,Redação
Nordeste,Rio Grande do Norte,>1.001,6.0,<17,0.0,Redação
Nordeste,Paraíba,0 -100,11.0,<17,0.0,Redação
Nordeste,Paraíba,101-200,75.0,<17,2.0,Redação
Nordeste,Paraíba,201-300,1503.0,<17,104.0,Redação
Nordeste,Paraíba,301-400,5946.0,<17,533.0,Redação
Nordeste,Paraíba,401-500,9504.0,<17,844.0,Redação
Nordeste,Paraíba,501-600,17374.0,<17,1643.0,Redação
Nordeste,Paraíba,601-700,17480.0,<17,2330.0,Redação
Nordeste,Paraíba,701-800,11692.0,<17,1903.0,Redação
Nordeste,Paraíba,801-900,12911.0,<17,2258.0,Redação
Nordeste,Paraíba,901-1.000,10654.0,<17,1567.0,Redação
Nordeste,Paraíba,>1.001,0.0,<17,0.0,Redação
Nordeste,Pernambuco,0 -100,20.0,<17,2.0,Redação
Nordeste,Pernambuco,101-200,126.0,<17,4.0,Redação
Nordeste,Pernambuco,201-300,2474.0,<17,210.0,Redação
Nordeste,Pernambuco,301-400,9933.0,<17,1065.0,Redação
Nordeste,Pernambuco,401-500,16593.0,<17,1858.0,Redação
Nordeste,Pernambuco,501-600,30127.0,<17,3515.0,Redação
Nordeste,Pernambuco,601-700,30428.0,<17,4089.0,Redação
Nordeste,Pernambuco,701-800,20710.0,<17,3077.0,Redação
Nordeste,Pernambuco,801-900,21771.0,<17,3002.0,Redação
Nordeste,Pernambuco,901-1.000,16215.0,<17,1683.0,Redação
Nordeste,Pernambuco,>1.001,2.0,<17,0.0,Redação
Nordeste,Alagoas,0 -100,13.0,<17,0.0,Redação
Nordeste,Alagoas,101-200,62.0,<17,0.0,Redação
Nordeste,Alagoas,201-300,1199.0,<17,40.0,Redação
Nordeste,Alagoas,301-400,4376.0,<17,255.0,Redação
Nordeste,Alagoas,401-500,6858.0,<17,425.0,Redação
Nordeste,Alagoas,501-600,11952.0,<17,811.0,Redação
Nordeste,Alagoas,601-700,11091.0,<17,1088.0,Redação
Nordeste,Alagoas,701-800,7167.0,<17,813.0,Redação
Nordeste,Alagoas,801-900,7419.0,<17,826.0,Redação
Nordeste,Alagoas,901-1.000,5549.0,<17,451.0,Redação
Nordeste,Alagoas,>1.001,0.0,<17,0.0,Redação
Nordeste,Sergipe,0 -100,14.0,<17,1.0,Redação
Nordeste,Sergipe,101-200,44.0,<17,4.0,Redação
Nordeste,Sergipe,201-300,752.0,<17,59.0,Redação
Nordeste,Sergipe,301-400,2985.0,<17,306.0,Redação
Nordeste,Sergipe,401-500,4784.0,<17,558.0,Redação
Nordeste,Sergipe,501-600,8342.0,<17,930.0,Redação
Nordeste,Sergipe,601-700,8598.0,<17,1229.0,Redação
Nordeste,Sergipe,701-800,6183.0,<17,915.0,Redação
Nordeste,Sergipe,801-900,7426.0,<17,1095.0,Redação
Nordeste,Sergipe,901-1.000,6041.0,<17,718.0,Redação
Nordeste,Sergipe,>1.001,3.0,<17,0.0,Redação
Nordeste,Bahia,0 -100,33.0,<17,0.0,Redação
Nordeste,Bahia,101-200,196.0,<17,10.0,Redação
Nordeste,Bahia,201-300,4017.0,<17,214.0,Redação
Nordeste,Bahia,301-400,16141.0,<17,1241.0,Redação
Nordeste,Bahia,401-500,27609.0,<17,2082.0,Redação
Nordeste,Bahia,501-600,49984.0,<17,4111.0,Redação
